Month,Reported by,Falls within,Easting,Northing,Location,Crime type,Context
2011-02,West Midlands Police,West Midlands Police,408811.0,284398.0,On or near Alfred Road,Robbery,
2011-02,West Midlands Police,West Midlands Police,397578.0,296792.0,On or near St. Lawrence Way,Other crime,
2011-02,West Midlands Police,West Midlands Police,388755.0,296117.0,On or near Warstones Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,394641.0,298167.0,On or near Chiltern Drive,Violent crime,
2011-02,West Midlands Police,West Midlands Police,401386.0,301058.0,On or near Harden Close,Burglary,
2011-02,West Midlands Police,West Midlands Police,417339.0,289867.0,On or near Nightingale Avenue,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,407881.0,278719.0,On or near Stotfold Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,396000.0,283982.0,On or near Bloomfield Street West,Other crime,
2011-02,West Midlands Police,West Midlands Police,415026.0,287135.0,On or near Lea Village,Violent crime,
2011-02,West Midlands Police,West Midlands Police,412294.0,278301.0,On or near Bishopton Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,430060.0,277242.0,On or near Thimbler Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,399751.0,302221.0,On or near Samuel Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,417419.0,288461.0,On or near Meriden Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,418124.0,280473.0,On or near Hampton Lane,Burglary,
2011-02,West Midlands Police,West Midlands Police,396886.0,298479.0,On or near Orchard Close,Burglary,
2011-02,West Midlands Police,West Midlands Police,408838.0,286686.0,On or near Gray Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,406256.0,288703.0,On or near Farm Street,Violent crime,
2011-02,West Midlands Police,West Midlands Police,414148.0,276330.0,On or near Fullbrook Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,402143.0,303695.0,On or near Highfield Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,417300.0,288651.0,On or near Ballard Walk,Other crime,
2011-02,West Midlands Police,West Midlands Police,409367.0,280857.0,On or near Westridge Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,407109.0,289044.0,On or near Newbury Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,435361.0,279705.0,On or near Stoke Row,Violent crime,
2011-02,West Midlands Police,West Midlands Police,436666.0,276518.0,On or near Littlethorpe,Other crime,
2011-02,West Midlands Police,West Midlands Police,433280.0,280245.0,On or near Somerset Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,433848.0,280127.0,On or near Leicester Causeway,Other crime,
2011-02,West Midlands Police,West Midlands Police,412141.0,295868.0,On or near Lower Queen Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,406645.0,286806.0,On or near Paradise Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,434592.0,282168.0,On or near Lynton Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,400311.0,301175.0,On or near West Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,406900.0,286821.0,On or near New Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,400516.0,290955.0,On or near West Bromwich Ringway,Other crime,
2011-02,West Midlands Police,West Midlands Police,391791.0,297480.0,On or near Brown Street,Robbery,
2011-02,West Midlands Police,West Midlands Police,407202.0,287193.0,On or near The Priory Queensway,Violent crime,
2011-02,West Midlands Police,West Midlands Police,396022.0,294942.0,On or near Bellevue Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,412294.0,278301.0,On or near Bishopton Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,409637.0,293010.0,On or near Turfpits Lane,Burglary,
2011-02,West Midlands Police,West Midlands Police,391388.0,298272.0,On or near Temple Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,402366.0,288705.0,On or near Buttress Way,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,400363.0,281878.0,On or near Highmore Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,415401.0,285048.0,On or near Chaffcombe Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,411974.0,296769.0,On or near Anchorage Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,411178.0,288574.0,On or near Washwood Heath Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,399633.0,277991.0,On or near Reaside Drive,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,411121.0,280796.0,On or near Temple Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,409649.0,286174.0,On or near Eversley Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,392626.0,284292.0,On or near Talbot Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,397389.0,296393.0,On or near Pinfold St. Extension,Other crime,
2011-02,West Midlands Police,West Midlands Police,406587.0,287747.0,On or near Constitution Hill,Burglary,
2011-02,West Midlands Police,West Midlands Police,395201.0,301099.0,On or near Moathouse Lane East,Other crime,
2011-02,West Midlands Police,West Midlands Police,391596.0,291165.0,On or near Temple Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,403315.0,283799.0,On or near Denise Drive,Burglary,
2011-02,West Midlands Police,West Midlands Police,406745.0,286662.0,On or near Navigation Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,401318.0,298319.0,On or near Lower Hall Lane,Other crime,
2011-02,West Midlands Police,West Midlands Police,405992.0,286124.0,On or near Shepherds Gardens,Other crime,
2011-02,West Midlands Police,West Midlands Police,407340.0,287040.0,On or near Dale End,Robbery,
2011-02,West Midlands Police,West Midlands Police,436277.0,281245.0,On or near Lydford Close,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,414559.0,279994.0,On or near Ashleigh Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,401162.0,281562.0,On or near Bridgeburn Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,435125.0,279466.0,On or near Richmond Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,410627.0,286257.0,On or near Burlington Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,397013.0,298698.0,On or near Squires Gate Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,416973.0,286876.0,On or near Bosworth Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,430675.0,278572.0,On or near Stewart Close,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,392616.0,300005.0,On or near Lockley Close,Burglary,
2011-02,West Midlands Police,West Midlands Police,434423.0,278988.0,On or near Far Gosford Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,406093.0,295037.0,On or near Moreton Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,397046.0,294053.0,On or near Gospel Oak Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,393139.0,300969.0,On or near Newbolds Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,391592.0,298558.0,On or near Market Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,406067.0,286233.0,On or near William Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,400882.0,300655.0,On or near Eagleworks Drive,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,413903.0,290734.0,On or near Concorde Drive,Violent crime,
2011-02,West Midlands Police,West Midlands Police,409811.0,284209.0,On or near Albion Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,418251.0,286565.0,On or near Frensham Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,406465.0,294749.0,On or near Ashgrove Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,397203.0,296921.0,On or near Stafford Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,397342.0,296512.0,On or near Mill Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409162.0,291012.0,On or near Muscovy Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,394651.0,298484.0,On or near Challenor Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,435262.0,276907.0,On or near Tonbridge Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,391312.0,298528.0,On or near Victoria Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,406338.0,290850.0,On or near Old Mill Grove,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,437194.0,277157.0,On or near Alex Grierson Close,Robbery,
2011-02,West Midlands Police,West Midlands Police,411448.0,291161.0,On or near Brueton Drive,Burglary,
2011-02,West Midlands Police,West Midlands Police,414525.0,284085.0,On or near Clydesdale,Other crime,
2011-02,West Midlands Police,West Midlands Police,399434.0,277436.0,On or near Chapelfield Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,390137.0,295836.0,On or near Hinstock Close,Robbery,
2011-02,West Midlands Police,West Midlands Police,392130.0,282382.0,On or near Dobbins Oak Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,415135.0,279066.0,On or near Church Hill Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,414518.0,278608.0,On or near Whitefields Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,409220.0,291846.0,On or near Marsh Hill,Other crime,
2011-02,West Midlands Police,West Midlands Police,404436.0,277440.0,On or near Thistle Green,Other crime,
2011-02,West Midlands Police,West Midlands Police,405542.0,290837.0,On or near Denewood Avenue,Burglary,
2011-02,West Midlands Police,West Midlands Police,400946.0,301060.0,On or near Forest Avenue,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,398906.0,298385.0,On or near Bentley Mill Lane,Robbery,
2011-02,West Midlands Police,West Midlands Police,435217.0,281672.0,On or near Navigation Way,Burglary,
2011-02,West Midlands Police,West Midlands Police,402762.0,287978.0,On or near Suffrage Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,409531.0,289829.0,On or near Argyle Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,405386.0,278100.0,On or near Gildas Avenue,Violent crime,
2011-02,West Midlands Police,West Midlands Police,406886.0,286375.0,On or near Holloway Circus Queensway,Violent crime,
2011-02,West Midlands Police,West Midlands Police,403066.0,286310.0,On or near Fountain Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,410735.0,286351.0,On or near Newland Road,Violent crime,
2011-02,West Midlands Police,West Midlands Police,415259.0,283447.0,On or near Springfield Crescent,Burglary,
2011-02,West Midlands Police,West Midlands Police,409799.0,291913.0,On or near Lambourn Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,412336.0,277958.0,On or near Harwood Grove,Other crime,
2011-02,West Midlands Police,West Midlands Police,432963.0,275292.0,On or near Droylsdon Park Road,Robbery,
2011-02,West Midlands Police,West Midlands Police,397389.0,296393.0,On or near Pinfold St. Extension,Other crime,
2011-02,West Midlands Police,West Midlands Police,408354.0,295538.0,On or near George Frederick Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,434423.0,278988.0,On or near Far Gosford Street,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,404511.0,293432.0,On or near Ferndale Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,407062.0,286470.0,On or near Smallbrook Queensway,Other crime,
2011-02,West Midlands Police,West Midlands Police,413835.0,283187.0,On or near Kents Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,395024.0,296483.0,On or near Church Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,400536.0,277330.0,On or near Rednal Mill Drive,Other crime,
2011-02,West Midlands Police,West Midlands Police,405986.0,286293.0,On or near Sandy Way,Violent crime,
2011-02,West Midlands Police,West Midlands Police,413265.0,282879.0,On or near Scott Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,396913.0,283725.0,On or near Wright Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,412654.0,286118.0,On or near Linford Grove,Burglary,
2011-02,West Midlands Police,West Midlands Police,400302.0,288330.0,On or near Warley Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,408173.0,284329.0,On or near Hertford Street,Other crime,
2011-02,West Midlands Police,West Midlands Police,391931.0,290799.0,On or near Frome Close,Burglary,
2011-02,West Midlands Police,West Midlands Police,402750.0,297102.0,On or near Cricket Close,Burglary,
2011-02,West Midlands Police,West Midlands Police,398333.0,288040.0,On or near Birchfield Lane,Other crime,
2011-02,West Midlands Police,West Midlands Police,405893.0,295316.0,On or near Park Farm Road,Burglary,
2011-02,West Midlands Police,West Midlands Police,436685.0,277099.0,On or near Montjoy Close,Other crime,
2011-02,West Midlands Police,West Midlands Police,407005.0,291705.0,On or near Nash Square,Violent crime,
2011-02,West Midlands Police,West Midlands Police,433845.0,281901.0,On or near Durbar Avenue,Burglary,
2011-02,West Midlands Police,West Midlands Police,393480.0,292013.0,On or near Hillside Road,Other crime,
2011-02,West Midlands Police,West Midlands Police,400249.0,277460.0,On or near Foxland Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,401932.0,281763.0,On or near Marston Road,Vehicle crime,
2011-02,West Midlands Police,West Midlands Police,434508.0,282869.0,On or near Evelyn Avenue,Other crime,
2011-02,West Midlands Police,West Midlands Police,409287.0,284106.0,On or near Stratford Street,Vehicle crime,
